Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
53,Travel_Rarely,722,Research & Development,24,1,Life Sciences,2,Male,36,3,3,Manufacturing Director,1,Single,8509,16199,9,Yes,22,3,1,2,26,5,2,6,1,7,0,No
31,Travel_Rarely,406,Human Resources,15,3,Technical Degree,2,Male,97,2,4,Manufacturing Director,2,Married,13849,20550,7,No,14,3,4,3,8,4,1,12,11,8,1,No
48,Travel_Rarely,556,Human Resources,7,1,Human Resources,2,Male,66,4,2,Healthcare Representative,4,Single,12071,15283,6,No,20,3,4,3,3,5,4,35,4,2,13,No
32,Travel_Rarely,259,Research & Development,19,5,Marketing,4,Male,67,2,5,Human Resources,3,Married,15081,14186,7,No,15,3,2,3,25,4,4,15,1,8,1,No
25,Non-Travel,430,Sales,22,5,Life Sciences,4,Male,40,1,1,Research Director,3,Divorced,14228,18853,3,Yes,18,3,3,3,31,5,1,20,13,7,0,No
31,Travel_Frequently,875,Human Resources,25,3,Life Sciences,1,Male,30,2,5,Sales Representative,2,Married,12614,15781,7,No,11,3,1,2,28,4,4,27,6,4,12,No
40,Travel_Rarely,324,Human Resources,23,5,Medical,4,Male,54,2,4,Healthcare Representative,3,Divorced,11301,17120,5,No,11,4,1,0,21,2,3,9,4,5,7,No
57,Travel_Rarely,1082,Sales,28,4,Human Resources,4,Male,71,2,3,Human Resources,1,Married,3781,26044,2,No,22,4,1,3,12,3,3,18,3,11,8,No
38,Travel_Rarely,828,Sales,3,2,Other,3,Male,81,2,4,Human Resources,1,Married,11083,26289,7,No,17,4,3,2,22,3,1,16,9,11,1,No
33,Travel_Rarely,1168,Research & Development,29,2,Marketing,4,Male,53,2,5,Research Scientist,2,Single,12374,7983,6,No,23,4,3,3,30,4,2,0,15,11,16,No
35,Non-Travel,1337,Research & Development,22,1,Technical Degree,3,Female,82,1,5,Manufacturing Director,4,Married,2639,3093,9,Yes,22,4,4,2,35,4,1,12,5,0,5,No
41,Non-Travel,1182,Research & Development,11,5,Medical,2,Male,85,1,4,Research Director,3,Single,14838,6789,4,Yes,19,3,4,2,39,6,3,35,5,4,2,No
43,Non-Travel,743,Sales,20,1,Marketing,3,Female,92,2,4,Sales Executive,3,Single,9973,4912,3,No,14,3,3,0,30,6,4,19,8,9,16,No
42,Non-Travel,715,Human Resources,29,2,Human Resources,3,Male,37,2,4,Healthcare Representative,2,Single,14982,17111,0,No,18,4,1,1,14,2,4,39,0,9,5,No
58,Travel_Rarely,294,Human Resources,19,2,Marketing,2,Female,88,4,1,Research Director,2,Married,13884,23873,9,No,20,3,3,0,13,3,2,5,15,11,7,No
46,Travel_Rarely,588,Research & Development,9,5,Life Sciences,2,Female,74,1,5,Research Scientist,3,Single,11248,16332,2,No,17,4,2,0,34,2,2,22,16,6,13,No
32,Non-Travel,256,Sales,10,4,Life Sciences,1,Male,56,3,2,Research Scientist,4,Divorced,11515,18564,1,No,24,3,3,3,23,6,3,23,12,0,9,No
18,Travel_Rarely,709,Human Resources,2,4,Medical,1,Female,81,1,1,Research Director,2,Divorced,3274,14259,7,Yes,12,4,3,2,29,6,2,4,5,9,9,Yes
42,Non-Travel,1349,Research & Development,1,5,Human Resources,1,Female,47,3,1,Human Resources,1,Married,11830,11412,7,No,24,3,1,1,29,1,1,31,1,8,14,Yes
24,Travel_Frequently,511,Human Resources,16,5,Human Resources,1,Female,45,4,1,Sales Representative,3,Single,3480,22526,4,Yes,15,4,4,2,26,5,3,16,7,12,7,Yes
26,Travel_Frequently,1328,Human Resources,18,1,Marketing,3,Male,95,2,2,Research Director,2,Divorced,7799,22007,4,Yes,19,3,2,3,39,6,4,10,3,6,10,Yes
41,Non-Travel,1202,Sales,23,5,Medical,3,Female,34,4,4,Healthcare Representative,2,Married,9547,23113,3,No,23,4,2,2,13,3,4,26,8,14,15,No
18,Travel_Rarely,1247,Sales,26,4,Human Resources,1,Female,32,2,5,Sales Executive,2,Married,15328,18006,0,No,23,3,2,3,10,4,4,3,6,3,2,No
25,Non-Travel,570,Human Resources,17,5,Other,4,Male,99,1,3,Manufacturing Director,3,Married,13679,23643,0,Yes,19,3,3,0,25,0,2,22,0,10,14,Yes
41,Travel_Rarely,1341,Research & Development,6,1,Other,1,Female,36,2,3,Research Scientist,1,Married,14928,26413,5,No,13,4,1,0,20,6,3,22,13,3,12,No
28,Travel_Rarely,615,Sales,14,1,Life Sciences,4,Female,79,3,5,Laboratory Technician,1,Married,11659,11755,3,Yes,21,4,3,3,8,1,2,33,1,10,10,No
34,Non-Travel,1227,Human Resources,23,1,Marketing,2,Female,43,3,2,Laboratory Technician,3,Single,7104,6684,3,No,22,4,4,0,0,5,1,20,7,14,13,No
25,Travel_Rarely,492,Sales,25,1,Technical Degree,3,Male,67,4,3,Human Resources,2,Single,17547,9854,2,Yes,13,4,1,2,5,0,3,21,10,9,6,No
52,Non-Travel,730,Sales,15,3,Life Sciences,3,Female,76,1,1,Manufacturing Director,3,Single,13925,22016,8,No,12,4,2,1,0,2,2,0,4,6,14,No
52,Non-Travel,707,Sales,14,5,Medical,4,Male,62,3,3,Research Scientist,3,Single,4381,24357,2,No,17,4,3,1,21,5,4,31,17,5,5,No
50,Travel_Rarely,1079,Human Resources,24,2,Human Resources,1,Female,72,4,5,Laboratory Technician,2,Married,3064,8417,7,No,16,4,1,2,12,2,4,27,11,2,6,No
22,Travel_Rarely,533,Research & Development,22,5,Life Sciences,3,Female,58,1,1,Laboratory Technician,3,Married,7589,19946,1,Yes,15,4,3,1,37,2,1,17,19,13,13,No
59,Travel_Rarely,1454,Research & Development,3,3,Technical Degree,4,Female,86,1,3,Sales Representative,4,Divorced,8447,15127,3,Yes,17,3,1,2,39,4,1,6,18,8,3,No
56,Travel_Rarely,1266,Research & Development,24,1,Technical Degree,2,Female,34,4,5,Research Director,1,Divorced,1339,19797,0,No,14,3,2,3,30,2,1,37,4,14,8,No
58,Travel_Frequently,639,Sales,23,3,Other,2,Male,89,3,2,Manager,4,Single,6130,12698,4,No,15,3,4,1,14,6,4,5,6,5,6,No
45,Non-Travel,377,Human Resources,19,4,Medical,3,Female,99,3,5,Manufacturing Director,4,Married,8733,24888,1,Yes,19,3,4,3,1,0,2,13,1,10,14,No
24,Travel_Rarely,332,Sales,25,4,Life Sciences,1,Male,31,4,2,Manager,4,Divorced,14110,19401,0,No,21,4,3,3,30,1,4,29,16,1,2,No
26,Travel_Rarely,1213,Research & Development,12,5,Marketing,4,Female,99,3,1,Sales Executive,3,Divorced,6049,17428,0,No,19,3,2,2,25,6,4,13,12,9,4,No
25,Travel_Rarely,1322,Research & Development,2,5,Life Sciences,3,Male,72,4,5,Research Director,2,Divorced,11318,5654,1,No,14,3,3,1,1,4,4,8,10,14,16,No
29,Travel_Frequently,461,Human Resources,3,2,Other,2,Female,33,3,4,Sales Executive,3,Divorced,13633,16997,4,Yes,16,4,3,0,10,1,2,30,4,11,0,No
51,Travel_Rarely,125,Sales,18,2,Technical Degree,1,Female,85,3,4,Healthcare Representative,1,Single,16608,25226,8,No,12,3,1,0,32,2,4,1,12,1,0,No
50,Travel_Rarely,1148,Research & Development,29,4,Medical,4,Male,88,4,4,Research Scientist,3,Married,1638,15742,5,No,13,4,1,0,17,3,1,17,12,0,15,No
40,Travel_Rarely,606,Human Resources,1,1,Medical,3,Male,38,4,4,Manager,3,Single,8709,10949,3,Yes,19,3,1,0,20,5,1,4,7,10,13,Yes
41,Travel_Frequently,1424,Sales,20,3,Marketing,4,Male,32,3,4,Human Resources,3,Divorced,6143,13971,2,No,16,3,2,2,30,4,1,25,10,4,10,No
54,Travel_Frequently,1462,Sales,21,2,Medical,1,Male,77,4,2,Healthcare Representative,3,Divorced,2224,17391,7,No,18,4,2,3,25,2,1,22,7,9,13,Yes
52,Travel_Rarely,366,Research & Development,29,2,Other,1,Female,72,3,5,Manufacturing Director,4,Married,15466,24482,2,No,21,4,3,1,29,4,4,11,9,5,7,No
57,Travel_Rarely,560,Research & Development,6,1,Other,2,Male,30,2,1,Research Scientist,2,Married,16279,21968,0,No,15,3,1,2,38,3,4,13,10,2,1,No
39,Non-Travel,555,Sales,5,1,Other,1,Male,86,1,4,Laboratory Technician,1,Single,13102,18565,3,Yes,12,3,2,0,20,0,4,12,0,3,9,No
44,Non-Travel,1483,Sales,1,5,Medical,3,Male,82,1,4,Manager,1,Married,5245,8829,4,No,17,3,3,1,15,6,1,34,6,4,4,No
52,Travel_Rarely,1191,Research & Development,19,3,Medical,4,Female,45,3,1,Research Director,1,Single,10741,12487,4,Yes,16,4,2,2,6,0,2,14,7,3,14,Yes
18,Non-Travel,1106,Sales,1,1,Other,1,Female,80,1,1,Research Director,3,Single,8407,4667,4,Yes,21,4,3,3,21,5,3,34,5,8,0,Yes
52,Travel_Rarely,962,Research & Development,27,2,Medical,1,Female,84,3,4,Healthcare Representative,1,Divorced,15790,11991,7,No,12,4,4,0,6,0,3,18,13,11,1,No
54,Non-Travel,590,Sales,21,2,Medical,3,Female,30,4,2,Healthcare Representative,4,Single,16642,18287,7,No,16,4,1,1,1,6,3,14,19,2,16,No
31,Travel_Rarely,1172,Research & Development,21,4,Technical Degree,4,Male,57,2,1,Laboratory Technician,2,Divorced,10567,8173,3,No,23,4,4,1,36,6,2,7,6,4,14,No
20,Travel_Rarely,663,Human Resources,16,1,Life Sciences,4,Female,82,1,5,Sales Representative,3,Single,9859,23805,8,Yes,18,4,3,0,13,3,4,22,2,6,7,No
18,Travel_Frequently,1225,Research & Development,12,5,Human Resources,2,Male,87,1,5,Manager,3,Single,6768,11691,0,No,23,3,3,3,7,1,3,12,1,11,13,No
22,Non-Travel,315,Research & Development,27,3,Medical,2,Female,89,4,2,Sales Executive,4,Married,19758,17208,4,Yes,11,4,1,0,28,3,3,22,17,11,7,Yes
43,Travel_Rarely,658,Human Resources,29,5,Human Resources,4,Male,88,2,3,Manufacturing Director,1,Married,18399,15235,4,Yes,14,4,1,3,6,3,4,30,2,6,7,No
31,Travel_Frequently,258,Sales,22,2,Human Resources,3,Male,51,2,2,Manager,3,Divorced,1335,15663,4,No,11,3,3,1,37,2,3,29,13,13,12,No
56,Non-Travel,588,Human Resources,8,5,Technical Degree,3,Male,37,2,4,Manager,3,Married,13953,11176,7,No,12,3,2,0,21,0,4,1,17,5,4,No
44,Travel_Frequently,785,Research & Development,26,2,Medical,2,Male,78,4,3,Laboratory Technician,4,Single,16330,20748,8,Yes,11,4,1,3,16,4,3,10,12,8,9,No
26,Travel_Rarely,1365,Sales,16,2,Other,1,Male,71,1,4,Manager,4,Divorced,17464,17072,2,Yes,16,4,3,3,15,6,4,24,7,14,6,No
32,Travel_Rarely,893,Human Resources,28,2,Human Resources,3,Female,56,1,5,Manager,1,Divorced,3134,7516,8,Yes,21,4,1,2,32,5,1,28,3,6,8,Yes
32,Travel_Frequently,104,Sales,1,2,Medical,1,Male,68,2,1,Human Resources,2,Divorced,17641,21689,7,No,16,4,1,3,38,1,2,21,14,10,13,No
43,Non-Travel,460,Sales,4,2,Marketing,3,Male,54,4,4,Human Resources,2,Single,1184,20599,2,No,11,3,4,0,34,6,3,18,11,3,5,Yes
59,Travel_Rarely,558,Human Resources,10,4,Other,4,Male,67,4,5,Research Scientist,1,Married,17506,18509,1,Yes,14,3,4,0,37,4,4,8,13,10,9,Yes
30,Travel_Frequently,347,Sales,11,5,Marketing,2,Male,53,4,2,Manufacturing Director,2,Divorced,9056,4620,3,No,24,3,2,3,31,2,1,37,19,9,0,No
49,Non-Travel,1045,Human Resources,17,4,Marketing,1,Female,53,2,4,Human Resources,4,Single,8263,22599,1,Yes,24,4,1,0,2,2,4,28,6,8,10,No
56,Travel_Rarely,521,Research & Development,25,4,Human Resources,1,Female,89,4,5,Manufacturing Director,4,Married,14191,19835,3,Yes,24,3,3,1,2,1,3,9,11,5,7,No
49,Travel_Frequently,114,Sales,27,1,Marketing,4,Male,79,2,1,Research Director,4,Married,4514,11200,4,No,14,4,3,1,7,4,3,21,8,14,5,No
21,Non-Travel,835,Research & Development,23,1,Technical Degree,3,Male,95,2,4,Laboratory Technician,2,Divorced,7077,13896,1,No,18,3,1,0,30,1,3,23,9,0,16,No
47,Travel_Frequently,1245,Research & Development,7,1,Technical Degree,1,Male,43,2,5,Laboratory Technician,2,Single,18778,23931,7,Yes,16,4,1,3,8,1,3,7,7,8,3,Yes
54,Travel_Rarely,376,Sales,12,3,Human Resources,3,Male,82,3,4,Human Resources,3,Married,3352,25087,0,Yes,12,4,2,1,4,0,3,5,19,10,5,No
40,Travel_Rarely,552,Human Resources,21,1,Medical,4,Female,61,2,1,Research Director,3,Single,16716,25753,2,Yes,15,3,2,3,27,4,1,6,1,6,14,No
56,Travel_Rarely,1417,Sales,7,5,Life Sciences,2,Female,77,4,4,Sales Executive,3,Married,10500,21514,6,No,14,3,2,0,14,0,4,19,15,5,9,No
32,Non-Travel,697,Research & Development,12,4,Medical,1,Male,68,3,4,Research Scientist,2,Divorced,15992,2696,9,Yes,20,4,3,2,26,6,4,16,17,5,16,No
46,Travel_Frequently,545,Research & Development,15,5,Medical,3,Male,69,1,5,Laboratory Technician,3,Divorced,11133,4270,0,No,14,3,4,1,30,0,3,35,19,3,9,No
53,Travel_Frequently,309,Human Resources,2,1,Medical,1,Male,71,1,3,Research Scientist,4,Married,7405,11226,1,No,22,4,2,0,39,6,4,7,9,3,4,No
30,Travel_Rarely,813,Sales,14,3,Medical,3,Male,37,4,4,Laboratory Technician,2,Single,17874,18060,2,Yes,18,4,3,1,17,5,1,12,5,10,6,No
49,Travel_Rarely,401,Research & Development,13,3,Other,3,Male,55,4,3,Research Director,1,Married,18438,11727,1,No,15,3,2,3,37,0,3,23,5,2,9,No
24,Travel_Rarely,1346,Research & Development,4,4,Life Sciences,3,Female,41,4,2,Manager,2,Single,18085,11005,1,Yes,13,3,3,2,3,3,2,30,19,7,10,Yes
39,Travel_Rarely,102,Research & Development,14,5,Other,4,Female,72,4,4,Sales Representative,3,Married,3934,26885,5,No,20,4,1,2,20,2,1,22,12,7,2,No
45,Travel_Rarely,1089,Human Resources,14,2,Marketing,2,Male,80,3,3,Manager,2,Divorced,15347,17084,6,No,22,4,3,0,22,2,3,16,18,1,10,No
19,Travel_Rarely,1216,Research & Development,16,5,Medical,1,Female,92,4,2,Sales Executive,3,Single,14502,21795,5,No,14,4,1,1,21,3,4,23,16,4,5,No
59,Travel_Rarely,619,Research & Development,7,1,Technical Degree,2,Female,78,2,5,Laboratory Technician,3,Divorced,14711,22102,5,Yes,11,4,3,2,0,6,1,9,1,12,5,No
23,Travel_Rarely,592,Sales,19,2,Human Resources,3,Female,56,1,4,Sales Executive,1,Single,14848,16816,8,No,16,4,4,1,24,6,3,30,17,8,14,No
45,Travel_Rarely,1358,Sales,2,3,Human Resources,3,Male,38,4,5,Human Resources,1,Married,15426,8717,7,Yes,21,4,3,3,27,1,4,19,6,11,2,No
45,Non-Travel,719,Research & Development,10,4,Other,2,Female,68,2,2,Human Resources,4,Divorced,5695,23304,7,No,23,3,1,3,36,4,4,15,13,13,10,No
37,Non-Travel,1284,Research & Development,18,4,Other,2,Female,94,4,5,Healthcare Representative,3,Divorced,17203,20428,5,No,20,3,4,0,10,4,3,13,14,14,7,No
47,Travel_Rarely,430,Sales,29,3,Technical Degree,1,Male,36,2,5,Manufacturing Director,2,Single,16860,3116,4,No,14,3,3,2,21,4,1,2,7,8,7,No
28,Travel_Rarely,432,Human Resources,17,1,Medical,3,Female,96,3,1,Human Resources,1,Single,15097,19540,8,No,16,4,3,2,24,0,3,29,8,6,15,No
45,Travel_Rarely,149,Human Resources,5,3,Life Sciences,2,Male,39,1,2,Human Resources,1,Single,15636,17179,1,No,12,4,2,1,20,4,3,17,10,13,2,No
42,Travel_Rarely,962,Human Resources,12,1,Marketing,4,Female,82,1,5,Laboratory Technician,3,Divorced,9843,2988,6,No,15,3,4,3,35,4,3,5,2,3,7,No
56,Travel_Rarely,371,Human Resources,6,2,Human Resources,3,Male,86,3,3,Healthcare Representative,2,Married,17800,12658,5,No,21,3,1,2,19,6,3,19,19,3,7,No
